番号 タイトル 冒頭フック 内容 CTA,,
1 レントゲン1回って危険？ レントゲン1回で被ばくすると思ってませんか？ 胸部X線は自然放射線数日分程度 保存して家族にも教えて,,
2 CTってどれくらい被ばく？ CTって実際どれくらい危険なの？ 部位ごとの線量比較 不安だった人は保存,,
3 西日本の方が放射線量が高い 日本、東西で放射線量違います 花崗岩による自然放射線量の違い あなたの県はどっち？,,
4 温泉でも放射線を浴びてる 実は温泉でも放射線浴びてます ラドン泉の説明 知らなかったらコメント,,
5 バナナにも放射線 バナナ、放射線出してます カリウム40の話 友達に話したくなった？,,
6 撮影前に歩き方見てる 技師、実はここ見てます 跛行や痛がり方を観察 保存推奨,,
7 痛い場所を何回も聞く理由 技師が何回も痛い場所聞く理由 骨折予測して撮影変更 経験ある人コメント,,
8 痛い場所と骨折場所が違う そこじゃない骨折あります 関連痛の説明 役立ったら保存,,
9 息止めが超重要 息止め失敗するとこうなります ブレ画像比較 検査前に見返して,,
10 骨を見るとテンション上がる これ職業病です 綺麗な関節に興奮 技師あるある,,
11 ボラール角って何？ この角度1つで診断変わります 整形外科が見るポイント 保存して勉強,,
12 足関節側面のこだわり この丸が重なるまで撮り直します ドーム一致説明 綺麗と思ったら保存,,
13 ハインドフット撮影 一般人が絶対知らない撮影法 足部アライメント評価 マニアック撮影シリーズ化,,
14 ローゼンバーグ撮影 膝、立って撮る理由 荷重で関節裂隙変化 知らなかった？,,
15 手根管撮影 この角度、人類にはキツい 手根管描出のため 経験者コメント,,
16 MRIは放射線じゃない MRI、実は被ばくゼロ 磁石による検査 CTとの違い保存,,
17 金属あるとMRIダメ？ 全部ダメではありません MRI対応金属説明 自己判断NG,,
18 造影剤って危険？ 造影剤怖いと思う人へ 副作用頻度説明 不安軽減したら保存,,
19 妊娠中レントゲン 実は状況によります 部位と線量説明 まず相談大事,,
20 CT室の壁が厚い理由 病院の壁、実は特殊です 鉛による遮蔽 病院雑学,,
21 骨折より怖い正常画像 技師が一番焦る画像 症状強いのに写らない CT追加になることも,,
22 若くても変形性関節症 年寄りの病気と思ってません？ スポーツ歴でも発症 若い人も注意,,
23 MRI前に湿布確認する理由 MRI前に湿布確認する理由 金属成分による熱感 知らなかったら保存,,
24 男性も骨粗鬆症になる 女性だけじゃありません 男性骨粗鬆症説明 家族に共有,,
25 歩けても骨折してる 歩ける＝骨折してないではない 不全骨折説明 我慢しないで,,
26 技師は秒で考えてる 実は頭の中こうなってます 可動域や痛み確認 プロの裏側,,
27 技師がヒヤッとする瞬間 技師が焦る時 転倒リスク 安全第一,,
28 いい写真は感謝される 技師、実はここで喜びます 診断しやすい画像 裏方の仕事紹介,,
29 骨の名前全部覚えてる？ 実際こうです 細かい骨で混乱 技師あるある,,
30 ありがとうで救われる 患者さんの一言で救われます 協力への感謝 医療従事者応援,,
,,
フック,本題,行動喚起
MRI検査って、実は痛みを感じないんです！,MRIは磁石と電波で体の中を撮影するので、針も痛みもありません。,MRIへの不安があれば、コメントで教えてください！
CTとレントゲン、違いを知っていますか？,CTは体を輪切り画像で詳しく見られ、レントゲンは一方向からの写真です。,どっちの検査を受けたことがありますか？教えてください！
バリウム検査、なぜ白い液体を飲むの？,バリウムは胃や腸の形を写しやすくするための造影剤なんです。,検査が不安な方はぜひフォローしてください！
X線検査で被ばくって大丈夫？,医療で使うX線量はごくわずか。体への影響はほとんどありません。,放射線についての疑問、コメント待ってます！
MRIで金属はなぜNG？,MRIは強力な磁石を使うので、金属は引き寄せられ危険なんです。,安全に検査を受けるためにフォローしましょう！
CT検査、息を止める理由とは？,息を止めると、体が動かず鮮明な画像が撮れるからです。,検査のコツが知りたい人はフォロー！
胃カメラとバリウム、どっちが楽？,バリウム検査は飲むだけで終わる人も多いですが、苦手な人もいます。,経験談をコメントで教えてください！
MRIの音がうるさい理由は？,検査中の音は、磁石を動かすためのもの。異常じゃないのでご安心を。,検査体験をシェアしましょう！
X線写真で虫歯もわかる？,歯のレントゲンで小さな虫歯も発見できます。,歯医者さんでの体験談コメント待ってます！
CT検査で造影剤を使うのはなぜ？,造影剤で血管や臓器がはっきり映るようになります。,造影剤に不安がある方はフォローを！
MRIは妊婦さんも受けられる？,基本的に安全ですが、医師と相談のうえで受けましょう。,気になることはコメントで質問してください！
X線で体の中はどう見える？,骨や臓器はX線の通り方が違うため、白黒で映し出されます。,身近な医療の疑問、どんどんコメントしてください！
CT検査、どれくらい時間かかる？,検査自体は数分で終わることが多いんです。,検査前に知っておきたいこと、コメントで教えて！
MRIとCT、どちらが得意な病気がある？,MRIは脳や関節、CTは肺やお腹の病気が得意です。,もっと知りたい方はフォローを忘れずに！
バリウム検査後、なぜ下剤を飲むの？,バリウムが体内に残るとよくないため、早く出す必要があるんです。,検査後の注意点もチェックしましょう！
X線技師がまず見るポイントは？,画像の明るさや形の異常を最初に確認しています。,医療の裏側が気になる方はフォロー！
MRIで閉所がこわい人はどうする？,最近はオープン型MRIもあり、圧迫感が少ないです。,不安な経験があればコメントで教えて！
CT検査で見つかる意外な病気,健康診断でがん以外の異常も見つかることがあります。,体験談や質問はコメントでどうぞ！
バリウム検査のコツを知っていますか？,喉ごしをよくするために、少しずつ飲むのがおすすめです。,他にも知りたいことがあればフォロー！
子どもがX線検査を受ける時は？,子ども向けに放射線量を最小限に調整しています。,お子さんの健康に関する疑問はコメントで！
MRIでタトゥーは大丈夫？,タトゥーのインクに金属が含まれている場合、注意が必要です。,タトゥー経験者は体験談コメントください！
CTの3D画像、どうやって作る？,複数の断面画像をコンピューターで合成し3D化します。,医療技術の進化に驚いたらいいね！
バリウム検査、苦手な人の対処法,検査前にスタッフに相談することで工夫してもらえます。,不安を感じる人はぜひフォロー！
X線で身体に悪い影響は？,一度の検査で健康に影響はほぼありません。,放射線への不安はコメントでどうぞ！
MRIで脳だけでなく体も診断できる？,筋肉や関節など、全身の状態も詳しく調べられます。,体のどこを調べてみたい？コメントしてください！
CTで心臓も見れるって知ってた？,心臓の血管や動きもCTで詳しく調べられるんです。,気になる部位があればコメントください！
バリウム検査で気をつける食事,前日は消化の良いものを食べると検査がスムーズです。,他にも検査のコツ知りたければフォロー！
X線写真で骨折以外もわかる？,肺炎や腸閉塞など骨以外の病気も発見できます。,身近な医療の豆知識が知りたい人はフォロー！
MRIの検査時間、実は短い？,部位によりますが、15〜30分で終わることが多いです。,受けたことがある人は体験談をコメントで！
CT検査で水分制限がある理由,造影剤の影響や画像の鮮明さのために水分制限があります。,検査について質問があればコメント！